INSTITUTE_NAME,EIIN,INSTITUTE_TYPE,DIVISION_ID,DIVISION,DISTRICT_ID,DISTRICT,THANA_ID,THANA,UNION_ID,UNION_NAME,MAUZA_ID,MAUZA_NAME,AREA_STATUS,GEOGRAPHICAL_STATUS,ADDRESS,POST,MANAGEMENT_TYPE,MOBILE,STUDENT_TYPE,EDUCATION_LEVEL,AFFILIATION,MPO_STATUS
ALHAJ MD. SHAMIM AHSAN DAKHIL MADRASAH MOHISDANGA,100099,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913712,NACHNA PARA,RURAL,COASTAL AREA,MOHISDANGA,CHALAVANGA,NON-GOVERNMENT,1712444536,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,NO
AMRAGACHIA SHALEHIA DAKHIL MADRASAH,100085,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987307,DAKSHIN CHUNAKHALI,RURAL,PLAIN LAND,AMRAGACHIA,HATCHUNAKHALI,NON-GOVERNMENT,1724060685,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
GOVT. AMTALI DEGREE COLLEGE,100112,College,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040906,WARD NO-06,10040906680,PURBA AMTALI,UPZILA SADAR MUNICIPALITY,RIVER SIDE/CHAR,"COLLEGE ROAD, AMTALI",AMTALI,GOVERNMENT,1749718415,CO-EDUCATION JOINT,Degree (Pass),RECOGNIZE,NO
AMTALI A.K. PILOT HIGH SCHOOL,100011,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947208,CHOWRA,UPZILA SADAR MUNICIPALITY,COASTAL AREA,"437, A K SCHOOL ROAD, AMTALI",AMTALI,NON-GOVERNMENT,1746091667,CO-EDUCATION JOINT,Secondary,RECOGNIZE,YES
AMTALI BONDER HOSAINIA FAZIL MADRASHA,100069,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040904,WARD NO-04,10040904823,SADARPARA,OTHER MUNICIPALITY AREA,PLAIN LAND,AMTALI,AMTALI,NON-GOVERNMENT,1714599363,CO-EDUCATION JOINT,Fazil,RECOGNIZE,YES
AMTALI MU. SECONDARY SCHOOL,131151,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913024,AMTALI,UPZILA SADAR MUNICIPALITY,RIVER SIDE/CHAR,AMTALI,AMTALI,NON-GOVERNMENT,1716028658,CO-EDUCATION JOINT,Secondary,RECOGNIZE,YES
DHAKA COLLEGE,100200,College,10,DHAKA,1001,DHAKA,100501,RAMNA,10050113,RAMNA,10050113001,RAMNA,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"NEW ELEPHANT ROAD, DHAKA",DHAKA,GOVERNMENT,1711000001,CO-EDUCATION JOINT,Degree (Pass),RECOGNIZE,NO
DHAKA MEDICAL COLLEGE,100201,College,10,DHAKA,1001,DHAKA,100501,RAMNA,10050113,RAMNA,10050113002,RAMNA,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"SECRETARIAT ROAD, DHAKA",DHAKA,GOVERNMENT,1711000002,CO-EDUCATION JOINT,MBBS (Medical),RECOGNIZE,NO
SIR SALIMULLAH MEDICAL COLLEGE,100202,College,10,DHAKA,1001,DHAKA,100502,KOTWALI,10050213,MITFORD,10050213001,MITFORD,UPZILA SADAR MUNICIPALITY,RIVER SIDE/CHAR,"MITFORD ROAD, DHAKA",DHAKA,GOVERNMENT,1711000003,CO-EDUCATION JOINT,MBBS (Medical),RECOGNIZE,NO
CHITTAGONG MEDICAL COLLEGE,100301,College,20,CHATTOGRAM,2001,CHATTOGRAM,200101,KOTWALI,20010113,KOTWALI,20010113001,KOTWALI,UPZILA SADAR MUNICIPALITY,COASTAL AREA,"K.B. FAZLUL KADER ROAD, CHATTOGRAM",CHATTOGRAM,GOVERNMENT,1711000004,CO-EDUCATION JOINT,MBBS (Medical),RECOGNIZE,NO
RAJSHAHI COLLEGE,100401,College,50,RAJSHAHI,5001,RAJSHAHI,500101,BOALIA,50010113,BOALIA,50010113001,BOALIA,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"TALAIMARI, RAJSHAHI",RAJSHAHI,GOVERNMENT,1711000005,CO-EDUCATION JOINT,Degree (Pass),RECOGNIZE,NO
RAJSHAHI MEDICAL COLLEGE,100402,College,50,RAJSHAHI,5001,RAJSHAHI,500101,BOALIA,50010113,BOALIA,50010113002,BOALIA,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"LAXMIPUR, RAJSHAHI",RAJSHAHI,GOVERNMENT,1711000006,CO-EDUCATION JOINT,MBBS (Medical),RECOGNIZE,NO
KHULNA GOVERNMENT GIRLS COLLEGE,100501,College,40,KHULNA,4001,KHULNA,400101,SADAR,40010113,SADAR,40010113001,SADAR,UPZILA SADAR MUNICIPALITY,COASTAL AREA,"KDA AVENUE, KHULNA",KHULNA,GOVERNMENT,1711000007,GIRLS,Degree (Pass),RECOGNIZE,NO
SYLHET MAG OSMANI MEDICAL COLLEGE,100601,College,30,SYLHET,3001,SYLHET,300101,KOTWALI,30010113,KOTWALI,30010113001,KOTWALI,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"MEDICAL COLLEGE ROAD, SYLHET",SYLHET,GOVERNMENT,1711000008,CO-EDUCATION JOINT,MBBS (Medical),RECOGNIZE,NO
BARISHAL SHER-E-BANGLA MEDICAL COLLEGE,100701,College,60,BARISAL,6001,BARISAL,600101,KOTWALI,60010113,KOTWALI,60010113001,KOTWALI,UPZILA SADAR MUNICIPALITY,RIVER SIDE/CHAR,"BAND ROAD, BARISAL",BARISAL,GOVERNMENT,1711000009,CO-EDUCATION JOINT,MBBS (Medical),RECOGNIZE,NO
RANGPUR MEDICAL COLLEGE,100801,College,70,RANGPUR,7001,RANGPUR,700101,KOTWALI,70010113,KOTWALI,70010113001,KOTWALI,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"JAIL ROAD, RANGPUR",RANGPUR,GOVERNMENT,1711000010,CO-EDUCATION JOINT,MBBS (Medical),RECOGNIZE,NO
MYMENSINGH MEDICAL COLLEGE,100901,College,80,MYMENSINGH,8001,MYMENSINGH,800101,KOTWALI,80010113,KOTWALI,80010113001,KOTWALI,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"CHARPARA ROAD, MYMENSINGH",MYMENSINGH,GOVERNMENT,1711000011,CO-EDUCATION JOINT,MBBS (Medical),RECOGNIZE,NO
GAZIPUR UPAZILA HIGH SCHOOL,101001,School,10,DHAKA,1010,GAZIPUR,101001,GAZIPUR SADAR,10100113,GAZIPUR SADAR,10100113001,GAZIPUR SADAR,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"JOYDEBPUR, GAZIPUR",GAZIPUR,NON-GOVERNMENT,1711000012,CO-EDUCATION JOINT,Secondary,RECOGNIZE,YES
NARAYANGANJ GOVT COLLEGE,101101,College,10,DHAKA,1011,NARAYANGANJ,101101,NARAYANGANJ SADAR,10110113,NARAYANGANJ SADAR,10110113001,NARAYANGANJ SADAR,UPZILA SADAR MUNICIPALITY,RIVER SIDE/CHAR,"BANDAR ROAD, NARAYANGANJ",NARAYANGANJ,GOVERNMENT,1711000013,CO-EDUCATION JOINT,Degree (Pass),RECOGNIZE,NO
COMILLA VICTORIA GOVERNMENT COLLEGE,101201,College,20,CHATTOGRAM,2011,COMILLA,101201,COMILLA SADAR,10120113,COMILLA SADAR,10120113001,COMILLA SADAR,UPZILA SADAR MUNICIPALITY,PLAIN LAND,"COLLEGE ROAD, COMILLA",COMILLA,GOVERNMENT,1711000014,CO-EDUCATION JOINT,Degree (Pass),RECOGNIZE,NO
