place_id,name,latitude,longitude,rating,number_of_reviews,affluence,address
ChIJx1i4PyCtqjARq5eQI4YeUFE,Jamal Store Joykul Bazaar,22.604275,90.094718,0,,,"Unnamed Road, Kawkhali, Bangladesh"
ChIJFYwq-zkLADoRf_tn0mu_rOQ,Haji Biryani House,22.289046,89.958509,5,1,,"Charkhali - Mathbaria Patharghata Rd, Mathbaria, Bangladesh"
ChIJJwuMBKoLADoRcGUOid7tMUg,Cafe Adda Mathbaria,22.286668,89.958363,3.9,165,2,"7XP5+M89, Mathbaria, Bangladesh"
ChIJV5cvokgLADoRaAN5XIRK-zM,Star Kebab Plus,22.291455,89.959185,4,9,,"7XR5+HMM, Mathbaria, Bangladesh"
ChIJrYmF96kLADoRmV2az8t2cwE,Afzal Hotel,22.286768,89.957929,4,19,,"7XP5+P53, Mathbaria, Bangladesh"
ChIJbyuiXo8LADoRMmqTOyNzSN4,Gazi Hotel And Restaurant,22.287545,89.959875,4.3,3,,"7XQ5+2W9, Mathbaria, Bangladesh"
ChIJc54E-roLADoRW2CmXU2vnNE,Ruposi Bangla Hotel & Restaurant,22.287518,89.959804,5,1,,"1 Sabujnajar Rd, Mathbaria 8560, Bangladesh"
ChIJOaQjUC5RVTcRcgbZ8x5sbDY,Toma Traders,22.741972,90.1027,4.9,13,,"College road, Swarupkathi 8520, Bangladesh"
ChIJZQBCC8ZRVTcRoU9Xbqhc3Aw,Nayem Restaurant,22.747458,90.102702,3,2,,"P4W3+X3P, Swarupkathi, Bangladesh"
ChIJR6ppFA5RVTcR7vhuJ_FPWME,Touhid Tea Store,22.746173,90.103694,4.1,37,1,"Swarupkathi Bridge, Swarupkathi, Bangladesh"
ChIJWaq3g6dRVTcRNDMW0yIj_CU,Nesaria Restaurant,22.746828,90.102087,5,1,,"Sadar Road, Swarupkathi, Bangladesh"
ChIJc-FnJadRVTcRpr5lKhhoTVY,Inayat Restaurants,22.745757,90.1139,4.2,23,,"Swarupkathi - Barisal Rd, Swarupkathi, Bangladesh"
ChIJMScmEWABADoRIeueIJRfphg,Street Food Pirojpur,22.579081,89.968617,4.7,10,,"HXH9+JCQ, Pirojpur Pourashava, Bangladesh"
ChIJlZjMCVoBADoRYMbGTc_kR_I,Sormi Fuska House,22.580443,89.968873,4.3,26,,"HXJ9+5GH, Pirojpur Pourashava, Bangladesh"
ChIJL9ElcpgBADoRLnFG7Chq_ww,Hotel Abbas Pirojpur,22.579094,89.980434,3.6,122,,"HXHJ+J5M, Pirojpur Pourashava, Bangladesh"
ChIJo9yhIfgAADoREb9u5HUp12Y,Star Hotel and Restaurant,22.570526,89.971797,4.1,145,,"HXCC+6P7, Pirojpur Pourashava, Bangladesh"
ChIJkdicn2gBADoRZgU_lUomDDw,Hotel Rose Garden,22.57868,89.968584,3.8,81,1,"Post Office Rd, Pirojpur Pourashava, Bangladesh"
ChIJs4gqz4MBADoRgWlkgKIgxD8,Cafe Al Madina,22.57939,89.979165,3.6,71,,"HXHH+QM3, Pirojpur Pourashava, Bangladesh"
ChIJIRrrteQJVDcRi_9mQMEBerA,Nawab Chinese Restaurant and Party Center,23.865913,91.206187,4.4,50,1,"Shahid Amir Hossen Road, Akhaura, Bangladesh"
ChIJw866sy4JVDcRBd_eD2lRfDs,Green Chilli Chinese Restaurant Akhaura,23.873385,91.209953,4,146,,"Akhaura City Bypass Rd, Akhaura 3450, Bangladesh"
ChIJH6Lh0GQJVDcRvqjHqgbF5WM,Naiyor Cafe & Restaurant,23.867309,91.209113,4,62,,"Nusrat Tower, Thana Road, Akhaura, Bangladesh"
ChIJgdShGeMJVDcRpB5-ER5FyZk,Nine Star Hotel,23.867525,91.20779,3.5,151,2,"Z1202, Akhaura 3450, Bangladesh"
CHIJdemoDHKBiryaniHouse01,Dhaka Biryani House Gulshan,23.7925,90.4078,4.5,320,3,"Road 11, Gulshan 1, Dhaka, Bangladesh"
CHIJdemoChattogramBiryani01,Chattogram Kacchi Bhai,22.3569,91.7832,4.6,540,3,"GEC Circle, Chattogram, Bangladesh"
CHIJdemoDhakaChinese01,Dhaka Chinese Garden Restaurant,23.7808,90.4147,4.2,210,2,"Banani, Dhaka, Bangladesh"
CHIJdemoSylhetTea01,Sylhet Panshi Restaurant,24.8949,91.8687,4.3,98,2,"Zindabazar, Sylhet, Bangladesh"
